datetime,depth,temp
2012-06-25 12:00:00,3,23.5
2012-06-25 12:00:00,4,23.4
2012-06-25 12:00:00,5,23.3
2012-06-25 12:00:00,6,23.2
2012-06-25 12:00:00,7,22.9
2012-06-25 12:00:00,8,22.4
2012-06-25 12:00:00,9,21
2012-06-25 12:00:00,10,20.8
2012-06-25 12:00:00,11,20.1
2012-06-25 12:00:00,11.5,18.5
2012-06-25 12:00:00,12,17.2
2012-06-25 12:00:00,12.5,16.4
2012-06-25 12:00:00,13,15.7
2012-06-25 12:00:00,13.5,15.5
2012-06-25 12:00:00,14,14.6
2012-06-25 12:00:00,15,13.7
2012-06-25 12:00:00,16,13.3
2012-06-25 12:00:00,17,12.8
2012-06-25 12:00:00,18,12.4
2012-06-25 12:00:00,19,12.1
2012-06-25 12:00:00,20,11.9
2012-06-25 12:00:00,21,11.8
2012-06-25 12:00:00,22,11.7
2012-06-25 12:00:00,23,11.7
2012-06-25 12:00:00,24,11.5
2012-06-25 12:00:00,24.5,12.2
2012-07-10 12:00:00,0,27.6
2012-07-10 12:00:00,1,27.6
2012-07-10 12:00:00,2,27.6
2012-07-10 12:00:00,3,27.6
2012-07-10 12:00:00,4,27.5
2012-07-10 12:00:00,5,27.5
2012-07-10 12:00:00,5.5,27.4
2012-07-10 12:00:00,6,25.1
2012-07-10 12:00:00,6.5,24.1
2012-07-10 12:00:00,7,23.4
2012-07-10 12:00:00,8,22.6
2012-07-10 12:00:00,8.5,22.1
2012-07-10 12:00:00,9,21.3
2012-07-10 12:00:00,10,20.6
2012-07-10 12:00:00,11,19.9
2012-07-10 12:00:00,11.5,19.4
2012-07-10 12:00:00,12,18.9
2012-07-10 12:00:00,12.5,17.3
2012-07-10 12:00:00,13,16.9
2012-07-10 12:00:00,13.5,15.9
2012-07-10 12:00:00,14,14.5
2012-07-10 12:00:00,14.5,13.9
2012-07-10 12:00:00,15,13.4
2012-07-10 12:00:00,16,12.6
2012-07-10 12:00:00,17,12.2
2012-07-10 12:00:00,18,12
2012-07-10 12:00:00,19,11.8
2012-07-10 12:00:00,20,11.6
2012-07-10 12:00:00,21,11.6
2012-07-10 12:00:00,22,11.5
2012-07-10 12:00:00,23,11.5
2012-07-10 12:00:00,24,11.5
2012-07-10 12:00:00,24.5,12.2
2012-07-23 12:00:00,0,27.5
2012-07-23 12:00:00,1,26.9
2012-07-23 12:00:00,2,26.4
2012-07-23 12:00:00,3,26.3
2012-07-23 12:00:00,4,26.3
2012-07-23 12:00:00,5,26.3
2012-07-23 12:00:00,6,26.2
2012-07-23 12:00:00,7,26.2
2012-07-23 12:00:00,7.5,26.1
2012-07-23 12:00:00,8,24.3
2012-07-23 12:00:00,8.5,22.2
2012-07-23 12:00:00,9,21.2
2012-07-23 12:00:00,9.5,21
2012-07-23 12:00:00,10,20.2
2012-07-23 12:00:00,10.5,19.9
2012-07-23 12:00:00,11,19.6
2012-07-23 12:00:00,11.5,18.7
2012-07-23 12:00:00,12,17.9
2012-07-23 12:00:00,12.5,17.3
2012-07-23 12:00:00,13,16
2012-07-23 12:00:00,13.5,15.1
2012-07-23 12:00:00,14,14.5
2012-07-23 12:00:00,14.5,14.2
2012-07-23 12:00:00,15,13.6
2012-07-23 12:00:00,15.5,13.3
2012-07-23 12:00:00,16,12.6
2012-07-23 12:00:00,17,12.3
2012-07-23 12:00:00,18,12
2012-07-23 12:00:00,19,11.8
2012-07-23 12:00:00,20,11.7
2012-07-23 12:00:00,21,11.7
2012-07-23 12:00:00,22,11.6
2012-07-23 12:00:00,23,11.6
2012-07-23 12:00:00,24,11.6
2012-08-06 12:00:00,0,26.5
2012-08-06 12:00:00,1,26.4
2012-08-06 12:00:00,2,26.2
2012-08-06 12:00:00,3,26.2
2012-08-06 12:00:00,4,26.1
2012-08-06 12:00:00,5,26.1
2012-08-06 12:00:00,6,26.1
2012-08-06 12:00:00,7,26.1
2012-08-06 12:00:00,8,26
2012-08-06 12:00:00,8.5,26
2012-08-06 12:00:00,9,25.3
2012-08-06 12:00:00,9.5,22.2
2012-08-06 12:00:00,10,20.4
2012-08-06 12:00:00,10.5,19.3
2012-08-06 12:00:00,11,18.9
2012-08-06 12:00:00,11.5,18.1
2012-08-06 12:00:00,12,17.6
2012-08-06 12:00:00,12.5,17.1
